person_id,name,degree_centrality,pagerank,betweenness_centrality
P036,Yuvraj Bhalla,0.4899328859060403,0.007719185266364567,0.0076179601363881785
P098,Aarush Kakar,0.47651006711409394,0.008751365497002839,0.007860079183765073
P126,Mugdha Prakash,0.4697986577181208,0.00980479642731387,0.007797361249084216
P096,Raghav Bajaj,0.4697986577181208,0.007245106604289748,0.007316742535176985
P028,Urmi Sachdeva,0.4563758389261745,0.00839418713162038,0.007145973622578663
P102,Ridhi Bhatia,0.4563758389261745,0.007241514785557155,0.0068218128823681464
P147,Aashi Wali,0.4563758389261745,0.00832339340074045,0.007018128610193765
P038,Devika Anand,0.4563758389261745,0.007202851741946122,0.006675818594876894
P114,Bhanumati Ramakrishnan,0.44966442953020136,0.007415909642637486,0.0053800520553847426
P122,Noah Kamdar,0.44966442953020136,0.007576639261534186,0.00584032726867845
P052,Mason Goel,0.44295302013422816,0.007830213667642544,0.00681741695860876
P026,Faqid Tailor,0.436241610738255,0.007233867319535772,0.006590323055012923
P017,Kamya Sarkar,0.436241610738255,0.0069817575766260515,0.0063749002467541
P078,Aarini Jain,0.436241610738255,0.007626290124879971,0.0060328251757005525
P025,Sai Solanki,0.4228187919463087,0.006569081259116395,0.006025972470844258
P031,Darpan Sethi,0.4228187919463087,0.006787147606478341,0.006107743433073465
P101,Maya Cheema,0.4228187919463087,0.0068700921084880245,0.006226175480859589
P003,Yash Patla,0.4228187919463087,0.0065147053718214104,0.005356272634705726
P011,Bhavna Singhal,0.4228187919463087,0.006277308812960246,0.007087732855039236
P020,Keya Sani,0.4228187919463087,0.0083231553696168,0.005640206703953614
P088,Naksh Bora,0.4228187919463087,0.00793503095707616,0.004851615336040266
P010,Jagat Sood,0.4161073825503356,0.006925600860820294,0.00588890476554671
P116,Damini Gopal,0.4161073825503356,0.007303264672766233,0.006143321392665108
P146,Qasim Pillai,0.4161073825503356,0.00805061651104404,0.005955678609491001
P109,Abeer Andra,0.4093959731543624,0.00843277608164968,0.005879639147592226
P053,Anjali Brahmbhatt,0.4093959731543624,0.0072011450478494995,0.004861285225972499
P073,Michael Vasa,0.4093959731543624,0.0073162618000219845,0.005141077114035289
P084,Vanya Krishnamurthy,0.4093959731543624,0.007669464216491554,0.0059196457473454905
P024,Vedhika Mane,0.4093959731543624,0.007325777039305885,0.005902388495482065
P081,Vanya Radhakrishnan,0.40268456375838924,0.007327646274685793,0.005046767378007593
P144,Andrew Bhatti,0.40268456375838924,0.007983833018076885,0.005888014663557441
P106,Ishanvi Kunda,0.40268456375838924,0.006508540341511244,0.004972533882560785
P014,Mugdha Deep,0.3959731543624161,0.006586479515075938,0.005398931538557159
P148,Aarnav Ganguly,0.3959731543624161,0.007070707825896951,0.0058427874154233575
P079,Gaurav Cheema,0.3959731543624161,0.008009700451214581,0.005866514101457019
